# Site Audit Report — www.shreegauli.com
# Crawled: 2026-04-15T18:48:16.521Z
# Pages Scanned: 42
# Health Score: 80/100
# Errors: 1 | Warnings: 93 | Notices: 41

## Issues Summary
Severity,Category,Issue,Affected Pages
WARNING,content,Title too long,21
WARNING,content,Duplicate title tag,2
WARNING,content,Duplicate meta description,2
ERROR,content,Missing H1 heading,1
WARNING,content,Low word count,6
NOTICE,content,Low text to HTML ratio,40
WARNING,content,Duplicate content,2
WARNING,links,Pages with only one internal link,9
WARNING,links,Links with no anchor text,42
NOTICE,links,Canonical URL mismatch,1
WARNING,performance,Slow page load speed,3
WARNING,markup,Missing ALT attributes,6

## Pages Detail
URL,Status Code,Redirected To,Redirect Chain,Crawl Depth,Title,Title Length,Meta Description,Meta Description Length,H1,H1 Count,H2s,Canonical,Meta Robots,X-Robots-Tag,Viewport,Charset,Language,Doctype,Word Count,Text/HTML Ratio,Content Hash,Internal Links,External Links,Total Links,Total Images,Missing ALT,JS Files,CSS Files,Schema Types,Schema Errors,OG Title,OG Description,OG Image,Twitter Card,Twitter Title,Twitter Image,TTFB,HTML Size,Content Encoding,Cache-Control,HSTS,Semantic Score,JS Rendered,Fetch Error
https://www.shreegauli.com/blogs/what-is-technical-seo-small-business,200,,,2,What Is Technical SEO? A Practical Guide for Small Business | Shree Gauli,73,"Learn what technical SEO is, why it matters, and which fixes help small business websites rank better, load faster, and convert more visitors.",142,What Is Technical SEO? A Practical Guide for Small Business Sites,1,Turn this into an action plan | What technical SEO actually includes | Why technical SEO matters before you publish more content | The technical SEO issues small business sites run into most often | What to fix first if your site needs technical SEO help | What technical SEO is not | A simple way to think about it | Final thought | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/what-is-technical-seo-small-business,"index, follow",,Yes,utf-8,en,Yes,2110,11%,0474bf16ef647878049fa635a923a05e,58,3,61,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,What Is Technical SEO? A Practical Guide for Small Business | Shree Gauli,"Learn what technical SEO is, why it matters, and which fixes help small business websites rank better, load faster, and convert more visitors.",https://www.shreegauli.com/og-image.jpg,summary_large_image,What Is Technical SEO? A Practical Guide for Small Business | Shree Gauli,https://www.shreegauli.com/og-image.jpg,6078ms,109KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/healthcare-marketing-automation-strategy,200,,,2,Healthcare Marketing Automation: 5 Proven Ways to Skyrocket | Shree Gauli,73,Explore healthcare marketing automation with 5 proven ways to skyrocket your strategy. Improve efficiency and reach with tailored solutions.,140,5 Proven Ways Healthcare Marketing Automation Can Skyrocket Your Strategy,1,Turn this into an action plan | Improved Efficiency | Personalized Patient Engagement | Data-Driven Decisions | Compliance and Security | Cost-Effectiveness | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/healthcare-marketing-automation-strategy,"index, follow",,Yes,utf-8,en,Yes,961,7%,ef49f1614668f77160ee0f755c0aa967,48,5,53,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,Healthcare Marketing Automation: 5 Proven Ways to Skyrocket | Shree Gauli,Explore healthcare marketing automation with 5 proven ways to skyrocket your strategy. Improve efficiency and reach with tailored solutions.,https://www.shreegauli.com/og-image.jpg,summary_large_image,Healthcare Marketing Automation: 5 Proven Ways to Skyrocket | Shree Gauli,https://www.shreegauli.com/og-image.jpg,2362ms,91KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/15-questions-hiring-marketing-agency,200,,,2,15 Questions to Ask Before Hiring a Digital Marketing Agency | Shree Gauli,74,"Most agencies sound polished on the first call. These questions help you find out whether they can actually diagnose problems, ship work, and report honestly.",158,15 Questions to Ask Before Hiring a Digital Marketing Agency,1,Turn this into an action plan | Questions before you hire | What good answers sound like | Red flags to watch | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/15-questions-hiring-marketing-agency,"index, follow",,Yes,utf-8,en,Yes,1168,7%,b58659ee2ccee794ff20b60524788967,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,15 Questions to Ask Before Hiring a Digital Marketing Agency | Shree Gauli,"Most agencies sound polished on the first call. These questions help you find out whether they can actually diagnose problems, ship work, and report honestly.",https://www.shreegauli.com/og-image.jpg,summary_large_image,15 Questions to Ask Before Hiring a Digital Marketing Agency | Shree Gauli,https://www.shreegauli.com/og-image.jpg,201ms,93KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/n8n-workflows-production,200,,,2,Why Most n8n Workflows Break in Production (And How to Fix Them) | Shree Gauli,78,"A workflow that runs once in staging is not the same as a workflow that survives real traffic, bad inputs, and retries. Production reliability comes from operating rules, not just nodes.",186,Why Most n8n Workflows Break in Production (And How to Fix Them),1,Turn this into an action plan | Where workflows break | How to harden n8n automation | What to measure weekly | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/n8n-workflows-production,"index, follow",,Yes,utf-8,en,Yes,967,7%,abc84e4feacac629276bfffdef701778,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,Why Most n8n Workflows Break in Production (And How to Fix Them) | Shree Gauli,"A workflow that runs once in staging is not the same as a workflow that survives real traffic, bad inputs, and retries. Production reliability comes from operating rules, not just nodes.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Why Most n8n Workflows Break in Production (And How to Fix Them) | Shree Gauli,https://www.shreegauli.com/og-image.jpg,199ms,90KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/attribution-problem-small-business-ads,200,,,2,The Attribution Problem Nobody Talks About in Small Business Ads | Shree Gauli,78,"Most small businesses are not actually measuring ad performance. They are comparing platform claims, partial CRM data, and delayed sales feedback, then calling it attribution.",175,The Attribution Problem Nobody Talks About in Small Business Ads,1,Turn this into an action plan | Why attribution breaks | How to clean it up | What better reporting looks like | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/attribution-problem-small-business-ads,"index, follow",,Yes,utf-8,en,Yes,893,6%,10d37d9431813a04e054e908caa391b9,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,The Attribution Problem Nobody Talks About in Small Business Ads | Shree Gauli,"Most small businesses are not actually measuring ad performance. They are comparing platform claims, partial CRM data, and delayed sales feedback, then calling it attribution.",https://www.shreegauli.com/og-image.jpg,summary_large_image,The Attribution Problem Nobody Talks About in Small Business Ads | Shree Gauli,https://www.shreegauli.com/og-image.jpg,228ms,89KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/seo-vs-google-ads-what-to-fix-first,200,,,2,SEO vs Google Ads: What to Fix First When Growth Stalls | Shree Gauli,69,"The answer is not ""both."" Start with the constraint that is costing you the most momentum right now, then use the other channel to support it.",142,SEO vs Google Ads: What to Fix First When Growth Stalls,1,Turn this into an action plan | Start with the bottleneck | When SEO should go first | When Google Ads should go first | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/seo-vs-google-ads-what-to-fix-first,"index, follow",,Yes,utf-8,en,Yes,960,6%,d0646b3c84c33f34b8d43e9a4fde73b4,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,SEO vs Google Ads: What to Fix First When Growth Stalls | Shree Gauli,"The answer is not ""both."" Start with the constraint that is costing you the most momentum right now, then use the other channel to support it.",https://www.shreegauli.com/og-image.jpg,summary_large_image,SEO vs Google Ads: What to Fix First When Growth Stalls | Shree Gauli,https://www.shreegauli.com/og-image.jpg,230ms,89KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/technical-seo-audit-checklist-service-businesses,200,,,2,Technical SEO Audit Checklist for Service Business Websites | Shree Gauli,73,"A technical audit should tell you what is blocking rankings, not dump a random spreadsheet of warnings. This checklist keeps the work tied to visibility and lead flow.",167,Technical SEO Audit Checklist for Service Business Websites,1,Turn this into an action plan | What to check first | Page-level signals | Internal linking and structure | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/technical-seo-audit-checklist-service-businesses,"index, follow",,Yes,utf-8,en,Yes,894,6%,188fe704ebf096120d97986f11083d1e,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,Technical SEO Audit Checklist for Service Business Websites | Shree Gauli,"A technical audit should tell you what is blocking rankings, not dump a random spreadsheet of warnings. This checklist keeps the work tied to visibility and lead flow.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Technical SEO Audit Checklist for Service Business Websites | Shree Gauli,https://www.shreegauli.com/og-image.jpg,189ms,89KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/free-seo-audit-results-explained,200,,,2,What Your Free SEO Audit Results Actually Mean | Shree Gauli,60,"A low score does not mean the site is hopeless. It means there are patterns worth prioritizing. Here is how to interpret failures, warnings, and quick wins without getting lost in tool noise.",191,What Your Free SEO Audit Results Actually Mean,1,Turn this into an action plan | How to read the score | What to fix first | When a tool is not enough | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/free-seo-audit-results-explained,"index, follow",,Yes,utf-8,en,Yes,893,6%,e76cbc2d19da589d1148864a9c6dad66,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,What Your Free SEO Audit Results Actually Mean | Shree Gauli,"A low score does not mean the site is hopeless. It means there are patterns worth prioritizing. Here is how to interpret failures, warnings, and quick wins without getting lost in tool noise.",https://www.shreegauli.com/og-image.jpg,summary_large_image,What Your Free SEO Audit Results Actually Mean | Shree Gauli,https://www.shreegauli.com/og-image.jpg,270ms,88KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/local-seo-priorities-service-businesses,200,,,2,Local SEO Priorities for Service Businesses That Need More Calls | Shree Gauli,78,"Local SEO is not just about map rankings. It is about making sure the right service pages, local signals, and follow-up systems work together when people are ready to contact you.",179,Local SEO Priorities for Service Businesses That Need More Calls,1,Turn this into an action plan | Local SEO foundations | What improves lead quality | What to audit each month | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/local-seo-priorities-service-businesses,"index, follow",,Yes,utf-8,en,Yes,891,6%,570d743048424c2dc08dcd8cb1b2c6d7,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,Local SEO Priorities for Service Businesses That Need More Calls | Shree Gauli,"Local SEO is not just about map rankings. It is about making sure the right service pages, local signals, and follow-up systems work together when people are ready to contact you.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Local SEO Priorities for Service Businesses That Need More Calls | Shree Gauli,https://www.shreegauli.com/og-image.jpg,203ms,89KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/freelancer-vs-agency-marketing,200,,,2,Freelancer vs Agency: Which Marketing Partner Makes Sense Right Now? | Shree Gauli,82,"The right answer depends on decision speed, complexity, and how much senior attention you actually need. This framework helps teams choose without defaulting to size or brand recognition.",187,Freelancer vs Agency: Which Marketing Partner Makes Sense Right Now?,1,Turn this into an action plan | When a freelancer fits best | When an agency fits best | How to decide | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/freelancer-vs-agency-marketing,"index, follow",,Yes,utf-8,en,Yes,793,5%,d2ca75780eb5672e49ca0fdf7d0512a9,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,Freelancer vs Agency: Which Marketing Partner Makes Sense Right Now? | Shree Gauli,"The right answer depends on decision speed, complexity, and how much senior attention you actually need. This framework helps teams choose without defaulting to size or brand recognition.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Freelancer vs Agency: Which Marketing Partner Makes Sense Right Now? | Shree Gauli,https://www.shreegauli.com/og-image.jpg,136ms,87KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/blogs/google-ads-audit-week-one,200,,,2,What a Google Ads Audit Should Find in Week One | Shree Gauli,61,"A useful audit surfaces budget waste, bad query matching, landing-page friction, and broken tracking fast enough to change decisions in the first week.",151,What a Google Ads Audit Should Find in Week One,1,Turn this into an action plan | Week-one audit priorities | What good audits output | When to rebuild | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/google-ads-audit-week-one,"index, follow",,Yes,utf-8,en,Yes,818,6%,42411a10576a0121f7b737f333ea7c7c,45,3,48,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,What a Google Ads Audit Should Find in Week One | Shree Gauli,"A useful audit surfaces budget waste, bad query matching, landing-page friction, and broken tracking fast enough to change decisions in the first week.",https://www.shreegauli.com/og-image.jpg,summary_large_image,What a Google Ads Audit Should Find in Week One | Shree Gauli,https://www.shreegauli.com/og-image.jpg,217ms,87KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
https://www.shreegauli.com/work/seo-growth,200,,,2,340% increase in organic sessions over 8 months | Case Study,60,"No SEO foundation. Thin content. Zero domain presence. See how 340% increase in organic sessions over 8 months was achieved through focused seo, content strategy, technical seo work.",182,Organic search rebuilt from near-zero to consistent top-10 rankings,1,The invisible wall blocking patient acquisition. | A precision surgical approach to SEO. | Measurable results that speak for themselves. | Ready to scale your organic visibility?,https://www.shreegauli.com/work/seo-growth,"index, follow",,Yes,utf-8,en,Yes,403,4%,4e70bf1c029864ebdc45f8f7befb0240,31,1,32,1,1,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,340% increase in organic sessions over 8 months | Case Study,"No SEO foundation. Thin content. Zero domain presence. See how 340% increase in organic sessions over 8 months was achieved through focused seo, content strategy, technical seo work.",https://www.shreegauli.com/og-image.jpg,summary_large_image,340% increase in organic sessions over 8 months | Case Study,https://www.shreegauli.com/og-image.jpg,212ms,68KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/work/ai-call-centre,200,,,2,10–12 new leads per month through AI-powered fo... | Case Study,63,"Inconsistent manual follow-up causing leads to go cold and revenue to leak. See how 10–12 new leads per month through ai-powered follow-up was achieved through focused ai automation, lead follow-up, conversational ai, crm work.",227,AI call centre agent turns missed leads into 10–12 new clients per month,1,Good leads going cold because nobody followed up. | An AI agent that never misses a lead. | Measurable results that speak for themselves. | Ready to scale your organic visibility?,https://www.shreegauli.com/work/ai-call-centre,"index, follow",,Yes,utf-8,en,Yes,547,5%,63a9173caa925331eee2f203b8a6489a,31,1,32,1,1,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,10–12 new leads per month through AI-powered fo... | Case Study,"Inconsistent manual follow-up causing leads to go cold and revenue to leak. See how 10–12 new leads per month through ai-powered follow-up was achieved through focused ai automation, lead follow-up, conversational ai, crm work.",https://www.shreegauli.com/og-image.jpg,summary_large_image,10–12 new leads per month through AI-powered fo... | Case Study,https://www.shreegauli.com/og-image.jpg,213ms,70KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/work/automation,200,,,2,20+ hours saved weekly via n8n automation | Case Study,54,"Manual reporting, missed leads, no process consistency. See how 20+ hours saved weekly via n8n automation was achieved through focused n8n, crm, automation, reporting work.",172,Automated reporting and lead pipeline saving 20+ hours per week,1,Drowning in manual processes nobody owns. | An automation-first infrastructure overhaul. | Measurable results that speak for themselves. | Ready to scale your organic visibility?,https://www.shreegauli.com/work/automation,"index, follow",,Yes,utf-8,en,Yes,399,4%,6ee5c8a9695c4e7efd2283d455fe6823,31,1,32,1,1,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,20+ hours saved weekly via n8n automation | Case Study,"Manual reporting, missed leads, no process consistency. See how 20+ hours saved weekly via n8n automation was achieved through focused n8n, crm, automation, reporting work.",https://www.shreegauli.com/og-image.jpg,summary_large_image,20+ hours saved weekly via n8n automation | Case Study,https://www.shreegauli.com/og-image.jpg,418ms,67KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/lp/book-a-call,200,,,3,Book a Free Strategy Call | Web Development & SEO Consultation,62,"Book a 30-minute strategy call to review your website, tech stack, and SEO — and map out the next highest-leverage move.",120,Book a focused strategy call,1,,https://www.shreegauli.com/lp/book-a-call,"index, follow",,Yes,utf-8,en,Yes,262,2%,fc5a41ad160e5860027aec3cec11a939,28,1,29,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,Book a Free Strategy Call | Web Development & SEO Consultation,"Book a 30-minute strategy call to review your website, tech stack, and SEO — and map out the next highest-leverage move.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Book a Free Strategy Call | Web Development & SEO Consultation,https://www.shreegauli.com/og-image.jpg,194ms,60KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/services/seo,200,https://www.shreegauli.com/services/seo-aeo-geo,https://www.shreegauli.com/services/seo,3,"SEO, AEO & GEO Services | Rank on Google and AI Search Engines",62,"Technical SEO audits, AI search optimization (AEO), and geo-targeted search strategies (GEO). Get found on Google, ChatGPT, Perplexity, and every search engine that matters.",173,Rank on Google. Get cited by AI. Dominate local search.,1,Three pillars of modern search | How it works | What you get | Frequently asked questions | Related services | Ready to fix the bottleneck?,https://www.shreegauli.com/services/seo-aeo-geo,"index, follow",,Yes,utf-8,en,Yes,766,5%,6a82fdf49976324c8e7c8e61e78ba596,34,1,35,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, FAQPage, Service",None,"SEO, AEO & GEO Services | Rank on Google and AI Search Engines","Technical SEO audits, AI search optimization (AEO), and geo-targeted search strategies (GEO). Get found on Google, ChatGPT, Perplexity, and every search engine that matters.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"SEO, AEO & GEO Services | Rank on Google and AI Search Engines",https://www.shreegauli.com/og-image.jpg,231ms,100KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
